,group1,group2,meandiff,p-adj,lower,upper,reject
0,cebra_behav,cebra_hybrid,23.9869,-0.0,22.3518,25.622,True
1,cebra_behav,cebra_hybrid2,28.625,-0.0,26.99,30.2601,True
2,cebra_behav,cebra_time,29.2494,-0.0,27.6144,30.8845,True
3,cebra_behav,tsne,5.4383,-0.0,3.8032,7.0733,True
4,cebra_behav,umap,15.8193,-0.0,14.1842,17.4543,True
5,cebra_hybrid,cebra_hybrid2,4.6381,0.0,3.0031,6.2732,True
6,cebra_hybrid,cebra_time,5.2625,-0.0,3.6275,6.8976,True
7,cebra_hybrid,tsne,-18.5487,-0.0,-20.1837,-16.9136,True
8,cebra_hybrid,umap,-8.1676,-0.0,-9.8027,-6.5326,True
9,cebra_hybrid2,cebra_time,0.6244,0.8806,-1.0107,2.2595,False
10,cebra_hybrid2,tsne,-23.1868,-0.0,-24.8219,-21.5517,True
11,cebra_hybrid2,umap,-12.8058,-0.0,-14.4409,-11.1707,True
12,cebra_time,tsne,-23.8112,-0.0,-25.4463,-22.1761,True
13,cebra_time,umap,-13.4302,-0.0,-15.0653,-11.7951,True
14,tsne,umap,10.381,-0.0,8.7459,12.0161,True
