,group1,group2,meandiff,p-adj,lower,upper,reject
0,cebra_behav,cebra_hybrid,23.9869,0.0,22.3646,25.6092,True
1,cebra_behav,cebra_time,29.2494,0.0,27.6271,30.8718,True
2,cebra_behav,conv_pivae,18.5189,0.0,16.8966,20.1412,True
3,cebra_behav,tsne,5.4383,0.0,3.8159,7.0606,True
4,cebra_behav,umap,15.8193,0.0,14.1969,17.4416,True
5,cebra_hybrid,cebra_time,5.2625,0.0,3.6402,6.8849,True
6,cebra_hybrid,conv_pivae,-5.468,0.0,-7.0904,-3.8457,True
7,cebra_hybrid,tsne,-18.5487,0.0,-20.171,-16.9263,True
8,cebra_hybrid,umap,-8.1676,0.0,-9.79,-6.5453,True
9,cebra_time,conv_pivae,-10.7305,0.0,-12.3529,-9.1082,True
10,cebra_time,tsne,-23.8112,0.0,-25.4335,-22.1888,True
11,cebra_time,umap,-13.4302,0.0,-15.0525,-11.8078,True
12,conv_pivae,tsne,-13.0806,0.0,-14.703,-11.4583,True
13,conv_pivae,umap,-2.6996,0.0001,-4.322,-1.0773,True
14,tsne,umap,10.381,0.0,8.7587,12.0033,True
